accuracy,loss,val_accuracy,val_loss
0.8862500190734863,0.29729634523391724,0.9750000238418579,0.13425078988075256
0.9800000190734863,0.08979864418506622,0.9850000143051147,0.07896561920642853
0.987500011920929,0.05312100052833557,0.9850000143051147,0.06592589616775513
0.9900000095367432,0.04436188191175461,0.9900000095367432,0.0628429427742958
0.9912499785423279,0.037578992545604706,0.9900000095367432,0.05148773267865181
0.9950000047683716,0.030586080625653267,0.9950000047683716,0.05157354474067688
0.9975000023841858,0.022777479141950607,1.0,0.04424640163779259
1.0,0.018723782151937485,1.0,0.043269701302051544
0.9975000023841858,0.017590999603271484,1.0,0.038534015417099
1.0,0.0124040637165308,1.0,0.03213556110858917
