loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
52.89023971557617,59.247989654541016,49.92146682739258,56.988704681396484
47.00724411010742,54.111328125,44.08769607543945,52.01347732543945
41.62990951538086,49.24201202392578,38.93183135986328,47.44050598144531
37.20175552368164,44.711387634277344,35.20419692993164,43.390586853027344
33.83973693847656,41.00801467895508,32.368568420410156,39.93918991088867
31.081369400024414,37.581783294677734,30.05665397644043,37.015445709228516
28.879915237426758,34.89173889160156,28.213197708129883,34.616966247558594
27.104631423950195,32.632484436035156,26.755311965942383,32.57135009765625
25.62738800048828,30.735204696655273,25.612850189208984,30.913766860961914
24.65790557861328,29.2783203125,24.65488624572754,29.49312973022461
23.97338104248047,28.17902374267578,23.859270095825195,28.32862091064453
23.081567764282227,27.06150245666504,23.215944290161133,27.370012283325195
22.00339698791504,25.770261764526367,22.575727462768555,26.489187240600586
21.230947494506836,25.09496307373047,21.950084686279297,25.701459884643555
20.8350772857666,24.412214279174805,21.389680862426758,25.018108367919922
